nombre,id_candidato,fecha,partido,id_partido,activo,observacion,foto,video,nota,epigrafe
SUXO ITURRY NARDI ELIZABETH,79,2013,MINISTERIO DE TRANSPARENCIA INSTITUCIONAL Y LUCHA CONTRA LA CORRUPCIÓN,19,1,,,,,
SUXO ITURRY NARDI ELIZABETH,79,2014,MINISTERIO DE TRANSPARENCIA INSTITUCIONAL Y LUCHA CONTRA LA CORRUPCIÓN,19,1,,,,,
TAPIA SAINZ JORGE RAMIRO,80,2008,MINISTERIO DE SALUD Y DEPORTES,14,1,,,,,
TAPIA SAINZ JORGE RAMIRO,80,2009,MINISTERIO DE SALUD Y DEPORTES,14,1,,,,,
TORO IBÁÑEZ GRACIELA,81,2008,MINISTERIO DE PLANIFICACIÓN DEL DESARROLLO,16,1,,,,,
TORRICO ROJAS CELIMA,82,2007,MINISTERIO DE JUSTICIA,10,1,,,,,
TORRICO ROJAS CELIMA,82,2008,MINISTERIO DE JUSTICIA,10,1,,,,,
TORRICO ROJAS CELIMA,82,2009,MINISTERIO DE JUSTICIA,10,1,,,,,
TRIGOSO AGUDO JOSE GONZALO,83,2015,MINISTERIO DE TRABAJO EMPLEO Y PREVISIÓN SOCIAL,11,1,,,,,
TRUJILLO CARDENAS CARMEN RUTH,84,2010,MINISTERIO DE TRABAJO EMPLEO Y PREVISIÓN SOCIAL,11,1,,,,,
TRUJILLO CARDENAS CARMEN RUTH,84,2011,MINISTERIO DE TRABAJO EMPLEO Y PREVISIÓN SOCIAL,11,1,,,,,
UDAETA VELÁSQUEZ MARÍA ESTHER,85,2010,MINISTERIO DE MEDIO AMBIENTE Y AGUA,12,1,,,,,
VALDA RIVERA WALTER,86,2008,MINISTERIO DE MEDIO AMBIENTE Y AGUA,12,1,,,,,
VALDIVIA BAUTISTA LENNY TATIANA,87,2015,MINISTERIO DE TRANSPARENCIA INSTITUCIONAL Y LUCHA CONTRA LA CORRUPCIÓN,19,1,,,,,
VELASCO CONDORI VIRGINIA,88,2015,MINISTERIO DE JUSTICIA,10,1,,,,,
VILLARROEL MOROCHI WALTER,89,2006,MINISTERIO DE MINERIA Y METALURGIA,9,1,,,,,
VILLEGAS QUIROGA CARLOS,90,2006,MINISTERIO DE PLANIFICACIÓN DEL DESARROLLO,16,1,,,,,
VILLEGAS QUIROGA CARLOS,90,2007,MINISTERIO DE PLANIFICACIÓN DEL DESARROLLO,16,1,,,,,
VILLEGAS QUIROGA CARLOS,90,2007,MINISTERIO DE HIDROCARBUROS Y ENERGIA,8,1,,,,,
VILLEGAS QUIROGA CARLOS,90,2008,MINISTERIO DE HIDROCARBUROS Y ENERGIA,8,1,,,,,
VILLEGAS QUIROGA CARLOS,90,2008,MINISTERIO DE PLANIFICACIÓN DEL DESARROLLO,16,1,,,,,
VINCENTI VARGAS LUIS FERNANDO,91,2010,MINISTERIO DE HIDROCARBUROS Y ENERGIA,8,1,,,,,
VIRREIRA IPORRE MARIO,92,2012,MINISTERIO DE MINERIA Y METALURGIA,9,1,,,,,
VIRREIRA IPORRE MARIO,92,2013,MINISTERIO DE MINERIA Y METALURGIA,9,1,,,,,
VIRREIRA IPORRE MARIO,92,2014,MINISTERIO DE MINERIA Y METALURGIA,9,1,,,,,
YUGAR PÁRRAGA ZULMA,93,2010,"MINISTERIO DE CULTURA (LUEGO ""Y TURISMO"")",21,1,,,,,
YUGAR PÁRRAGA ZULMA,93,2011,"MINISTERIO DE CULTURA (LUEGO ""Y TURISMO"")",21,1,,,,,
ZAMORA GUTIÉRREZ JOSÉ ANTONIO,94,2012,MINISTERIO DE MEDIO AMBIENTE Y AGUA,12,1,,,,,
ZAMORA GUTIÉRREZ JOSÉ ANTONIO,94,2013,MINISTERIO DE MEDIO AMBIENTE Y AGUA,12,1,,,,,
ZAMORA GUTIÉRREZ JOSÉ ANTONIO,94,2014,MINISTERIO DE MEDIO AMBIENTE Y AGUA,12,1,,,,,
